[Trace] Gravando em: C:\Users\lucas_alves\Workspace\self-adaptive-arm-simulator\1-manager\traces\trace_20260724_102927.log
[step=   0 10:29:28.873][Manager] GUI conectado.
[step=   0 10:29:30.374][Manager] Aguardando percepcoes do managing...

[step=   0 10:29:30.393][WsClient] Conectado a ws://localhost:8000/ws/perception
[step=  34 10:30:08.281][Manager] ep=1 subtask=TRANSPORT_OBJECT reward=-0.1440
[step=  34 10:30:08.281][ASM] [OK] transport_object → place_object  (type=domain)
[step=  34 10:30:08.281][Analyzer] ASM node=place_object  goal_status=ok  (scenario=PLACE_OBJECT)
[step=  35 10:30:09.427][Manager] ep=1 subtask=TRANSPORT_OBJECT reward=-0.1465
[step=  35 10:30:09.428][Analyzer] ASM node=place_object  goal_status=not_applicable
[step=  36 10:30:10.627][Manager] ep=1 subtask=TRANSPORT_OBJECT reward=-0.1564
[step=  36 10:30:10.627][Analyzer] ASM node=place_object  goal_status=not_applicable
[step=  37 10:30:11.721][Manager] ep=1 subtask=TRANSPORT_OBJECT reward=-0.1644
[step=  37 10:30:11.721][Analyzer] ASM node=place_object  goal_status=not_applicable
[step=  38 10:30:12.894][Manager] ep=1 subtask=PLACE_OBJECT reward=-0.1642
[step=  38 10:30:12.894][Analyzer] ASM node=place_object  goal_status=not_applicable
[step=  39 10:30:14.014][Manager] ep=1 subtask=PLACE_OBJECT reward=-0.1569
[step=  39 10:30:14.015][Analyzer] ASM node=place_object  goal_status=not_applicable
[step=  40 10:30:15.161][Manager] ep=1 subtask=PLACE_OBJECT reward=-0.1493
[step=  40 10:30:15.162][Analyzer] ASM node=place_object  goal_status=not_applicable
[step=  41 10:30:16.308][Manager] ep=1 subtask=PLACE_OBJECT reward=-0.1416
[step=  41 10:30:16.308][Analyzer] ASM node=place_object  goal_status=not_applicable
[step=  42 10:30:17.455][Manager] ep=1 subtask=PLACE_OBJECT reward=-0.1340
[step=  42 10:30:17.456][Analyzer] ASM node=place_object  goal_status=not_applicable
[step=  43 10:30:18.628][Manager] ep=1 subtask=PLACE_OBJECT reward=-0.1263
[step=  43 10:30:18.628][Analyzer] ASM node=place_object  goal_status=not_applicable
[step=  44 10:30:19.749][Manager] ep=1 subtask=PLACE_OBJECT reward=-0.1186
[step=  44 10:30:19.749][Analyzer] ASM node=place_object  goal_status=not_applicable
[step=  45 10:30:20.896][Manager] ep=1 subtask=PLACE_OBJECT reward=-0.1108
[step=  45 10:30:20.896][Analyzer] ASM node=place_object  goal_status=not_applicable
[step=  46 10:30:22.055][Manager] ep=1 subtask=PLACE_OBJECT reward=-0.1031
[step=  46 10:30:22.056][Analyzer] ASM node=place_object  goal_status=not_applicable
[step=  47 10:30:23.189][Manager] ep=1 subtask=PLACE_OBJECT reward=-0.0953
[step=  47 10:30:23.189][Analyzer] ASM node=place_object  goal_status=not_applicable
[step=  48 10:30:24.375][Manager] ep=1 subtask=PLACE_OBJECT reward=-0.0876
[step=  48 10:30:24.375][Analyzer] ASM node=place_object  goal_status=not_applicable
[step=  49 10:30:25.495][Manager] ep=1 subtask=PLACE_OBJECT reward=-0.0799
[step=  49 10:30:25.495][Analyzer] ASM node=place_object  goal_status=not_applicable
[step=  50 10:30:26.629][Manager] ep=1 subtask=PLACE_OBJECT reward=-0.0722
[step=  50 10:30:26.630][Analyzer] ASM node=place_object  goal_status=not_applicable
[step=  51 10:30:27.829][Manager] ep=1 subtask=PLACE_OBJECT reward=-0.0646
[step=  51 10:30:27.829][Analyzer] ASM node=place_object  goal_status=not_applicable
[step=  52 10:30:28.925][Manager] ep=1 subtask=PLACE_OBJECT reward=-0.0570
[step=  52 10:30:28.925][Analyzer] ASM node=place_object  goal_status=not_applicable
[step=  53 10:30:30.082][Manager] ep=1 subtask=PLACE_OBJECT reward=-0.0496
[step=  53 10:30:30.083][Analyzer] ASM node=place_object  goal_status=not_applicable
[step=  54 10:30:31.217][Manager] ep=1 subtask=PLACE_OBJECT reward=-0.0421
[step=  54 10:30:31.217][Analyzer] ASM node=place_object  goal_status=not_applicable
[step=  55 10:30:32.364][Manager] ep=1 subtask=PLACE_OBJECT reward=-0.0348
[step=  55 10:30:32.365][Analyzer] ASM node=place_object  goal_status=not_applicable
[step=  56 10:30:33.535][Manager] ep=1 subtask=PLACE_OBJECT reward=-0.0279
[step=  56 10:30:33.536][Analyzer] ASM node=place_object  goal_status=not_applicable
[step=  57 10:30:34.682][Manager] ep=1 subtask=PLACE_OBJECT reward=-0.0238
[step=  57 10:30:34.682][Analyzer] ASM node=place_object  goal_status=not_applicable
[step=  58 10:30:35.829][Manager] ep=1 subtask=PLACE_OBJECT reward=-0.0209
[step=  58 10:30:35.829][Analyzer] ASM node=place_object  goal_status=not_applicable
[step=  59 10:30:36.963][Manager] ep=1 subtask=PLACE_OBJECT reward=-0.0188
[step=  59 10:30:36.963][Analyzer] ASM node=place_object  goal_status=not_applicable
[step=  60 10:30:38.123][Manager] ep=1 subtask=PLACE_OBJECT reward=-0.0172
[step=  60 10:30:38.123][Analyzer] ASM node=place_object  goal_status=not_applicable
[step=  61 10:30:39.269][Manager] ep=1 subtask=PLACE_OBJECT reward=-0.0159
[step=  61 10:30:39.270][Analyzer] ASM node=place_object  goal_status=not_applicable
[step=  62 10:30:40.403][Manager] ep=1 subtask=PLACE_OBJECT reward=-0.0149
[step=  62 10:30:40.404][Analyzer] ASM node=place_object  goal_status=not_applicable
[step=  63 10:30:41.576][Manager] ep=1 subtask=PLACE_OBJECT reward=-0.0141
[step=  63 10:30:41.577][Analyzer] ASM node=place_object  goal_status=not_applicable
[step=  64 10:30:42.697][Manager] ep=1 subtask=PLACE_OBJECT reward=-0.0130
[step=  64 10:30:42.698][ASM] [DONE] PLACE_OBJECT → __end__
[step=  64 10:30:42.698][Analyzer] ASM node=__end__  goal_status=not_applicable
[step=  65 10:30:43.883][Manager] ep=1 subtask=PLACE_OBJECT reward=-0.0130
[step=  65 10:30:43.884][Analyzer] ASM node=__end__  goal_status=not_applicable
[step=  66 10:30:44.991][Manager] ep=1 subtask=PLACE_OBJECT reward=-0.0130
[step=  66 10:30:44.992][Analyzer] ASM node=__end__  goal_status=not_applicable
[step=  67 10:30:46.137][Manager] ep=1 subtask=PLACE_OBJECT reward=-0.0130
[step=  67 10:30:46.138][Analyzer] ASM node=__end__  goal_status=not_applicable
[step=  68 10:30:47.337][Manager] ep=1 subtask=PLACE_OBJECT reward=-0.0130
[step=  68 10:30:47.337][Analyzer] ASM node=__end__  goal_status=not_applicable
[step=  68 10:31:09.356][WsClient] Desconectado (no close frame received or sent). Reconectando em 0.01s...
[step=  68 10:31:11.394][WsClient] Desconectado (timed out). Reconectando em 0.01s...
[step=  68 10:31:13.414][WsClient] Desconectado (timed out). Reconectando em 0.01s...
[step=  68 10:31:15.447][WsClient] Desconectado (timed out). Reconectando em 0.01s...
[step=  68 10:31:17.475][WsClient] Desconectado (timed out). Reconectando em 0.01s...
[step=  68 10:31:17.500][Manager] Nenhuma percepcao recebida. Aguardando...
[step=  68 10:31:19.512][WsClient] Desconectado (timed out). Reconectando em 0.01s...
[step=  68 10:31:21.538][WsClient] Desconectado (timed out). Reconectando em 0.01s...
[step=  68 10:31:23.574][WsClient] Desconectado (timed out). Reconectando em 0.01s...
[step=  68 10:31:25.608][WsClient] Desconectado (timed out). Reconectando em 0.01s...
[step=  68 10:31:27.621][WsClient] Desconectado (timed out). Reconectando em 0.01s...
[step=  68 10:31:29.639][WsClient] Desconectado (timed out). Reconectando em 0.01s...
[step=  68 10:31:31.678][WsClient] Desconectado (timed out). Reconectando em 0.01s...
[step=  68 10:31:33.714][WsClient] Desconectado (timed out). Reconectando em 0.01s...
[step=  68 10:31:35.742][WsClient] Desconectado (timed out). Reconectando em 0.01s...
[step=  68 10:31:37.758][WsClient] Desconectado (timed out). Reconectando em 0.01s...
[step=  68 10:31:39.798][WsClient] Desconectado (timed out). Reconectando em 0.01s...
[step=  68 10:31:41.818][WsClient] Desconectado (timed out). Reconectando em 0.01s...
[step=  68 10:31:43.837][WsClient] Desconectado (timed out). Reconectando em 0.01s...
[step=  68 10:31:45.861][WsClient] Desconectado (timed out). Reconectando em 0.01s...
[step=  68 10:31:47.522][Manager] Nenhuma percepcao recebida. Aguardando...
[step=  68 10:31:47.877][WsClient] Desconectado (timed out). Reconectando em 0.01s...
[step=  68 10:31:49.892][WsClient] Desconectado (timed out). Reconectando em 0.01s...
[step=  68 10:31:51.907][WsClient] Desconectado (timed out). Reconectando em 0.01s...
[step=  68 10:31:53.929][WsClient] Desconectado (timed out). Reconectando em 0.01s...
[step=  68 10:31:55.959][WsClient] Desconectado (timed out). Reconectando em 0.01s...
[step=  68 10:31:57.980][WsClient] Desconectado (timed out). Reconectando em 0.01s...
[step=  68 10:32:00.003][WsClient] Desconectado (timed out). Reconectando em 0.01s...
[step=  68 10:32:02.027][WsClient] Desconectado (timed out). Reconectando em 0.01s...
[step=  68 10:32:04.054][WsClient] Desconectado (timed out). Reconectando em 0.01s...
[step=  68 10:32:06.081][WsClient] Desconectado (timed out). Reconectando em 0.01s...
[step=  68 10:32:08.121][WsClient] Desconectado (timed out). Reconectando em 0.01s...
[step=  68 10:32:10.153][WsClient] Desconectado (timed out). Reconectando em 0.01s...
[step=  68 10:32:12.192][WsClient] Desconectado (timed out). Reconectando em 0.01s...
[step=  68 10:32:14.215][WsClient] Desconectado (timed out). Reconectando em 0.01s...
[step=  68 10:32:16.245][WsClient] Desconectado (timed out). Reconectando em 0.01s...
[step=  68 10:32:17.526][Manager] Nenhuma percepcao recebida. Aguardando...
[step=  68 10:32:18.275][WsClient] Desconectado (timed out). Reconectando em 0.01s...
[step=  68 10:32:20.300][WsClient] Desconectado (timed out). Reconectando em 0.01s...
[step=  68 10:32:22.331][WsClient] Desconectado (timed out). Reconectando em 0.01s...
[step=  68 10:32:24.352][WsClient] Desconectado (timed out). Reconectando em 0.01s...
[step=  68 10:32:26.390][WsClient] Desconectado (timed out). Reconectando em 0.01s...
[step=  68 10:32:28.428][WsClient] Desconectado (timed out). Reconectando em 0.01s...
[step=  68 10:32:30.453][WsClient] Desconectado (timed out). Reconectando em 0.01s...
[step=  68 10:32:32.481][WsClient] Desconectado (timed out). Reconectando em 0.01s...
[step=  68 10:32:34.498][WsClient] Desconectado (timed out). Reconectando em 0.01s...
[step=  68 10:32:36.518][WsClient] Desconectado (timed out). Reconectando em 0.01s...
[step=  68 10:32:38.554][WsClient] Desconectado (timed out). Reconectando em 0.01s...
[step=  68 10:32:40.581][WsClient] Desconectado (timed out). Reconectando em 0.01s...
[step=  68 10:32:42.602][WsClient] Desconectado (timed out). Reconectando em 0.01s...
[step=  68 10:32:44.628][WsClient] Desconectado (timed out). Reconectando em 0.01s...
[step=  68 10:32:46.659][WsClient] Desconectado (timed out). Reconectando em 0.01s...
[step=  68 10:32:47.625][Manager] Nenhuma percepcao recebida. Aguardando...
[step=  68 10:32:48.686][WsClient] Desconectado (timed out). Reconectando em 0.01s...
[step=  68 10:32:50.717][WsClient] Desconectado (timed out). Reconectando em 0.01s...
[step=  68 10:32:52.742][WsClient] Desconectado (timed out). Reconectando em 0.01s...
[step=  68 10:32:54.770][WsClient] Desconectado (timed out). Reconectando em 0.01s...
[step=  68 10:32:56.810][WsClient] Desconectado (timed out). Reconectando em 0.01s...
[step=  68 10:32:58.842][WsClient] Desconectado (timed out). Reconectando em 0.01s...
[step=  68 10:33:00.872][WsClient] Desconectado (timed out). Reconectando em 0.01s...
[step=  68 10:33:02.901][WsClient] Desconectado (timed out). Reconectando em 0.01s...
[step=  68 10:33:04.916][WsClient] Desconectado (timed out). Reconectando em 0.01s...
[step=  68 10:33:06.941][WsClient] Desconectado (timed out). Reconectando em 0.01s...
[step=  68 10:33:08.957][WsClient] Desconectado (timed out). Reconectando em 0.01s...
[step=  68 10:33:10.980][WsClient] Desconectado (timed out). Reconectando em 0.01s...
[step=  68 10:33:13.006][WsClient] Desconectado (timed out). Reconectando em 0.01s...
[step=  68 10:33:15.030][WsClient] Desconectado (timed out). Reconectando em 0.01s...
[step=  68 10:33:17.064][WsClient] Desconectado (timed out). Reconectando em 0.01s...
[step=  68 10:33:17.640][Manager] Nenhuma percepcao recebida. Aguardando...
[step=  68 10:33:19.097][WsClient] Desconectado (timed out). Reconectando em 0.01s...
[step=  68 10:33:21.113][WsClient] Desconectado (timed out). Reconectando em 0.01s...
[step=  68 10:33:23.135][WsClient] Desconectado (timed out). Reconectando em 0.01s...
